Date,Title,Address,City,State,Beds,Baths,Rent,SQFT
2/27/2019,Tacara Steiner Ranch,"4306 N Quinlan Park Rd,
","Austin,",TX,1Bedroom,1Bathroom,"$1,041-5,000",624 Sq Ft
2/27/2019,Tacara Steiner Ranch,"4306 N Quinlan Park Rd,
","Austin,",TX,1Bedroom,1Bathroom,"$1,219-5,000",825 Sq Ft
2/27/2019,Tacara Steiner Ranch,"4306 N Quinlan Park Rd,
","Austin,",TX,1Bedroom,1Bathroom,"$1,380-5,000","1,125 Sq Ft"
2/27/2019,Tacara Steiner Ranch,"4306 N Quinlan Park Rd,
","Austin,",TX,2BRs,2Bathrooms,"$1,418-5,000","1,139 Sq Ft"
2/27/2019,Tacara Steiner Ranch,"4306 N Quinlan Park Rd,
","Austin,",TX,2BRs,2Bathrooms,"$1,773-5,000","1,299 Sq Ft"
2/27/2019,Tacara Steiner Ranch,"4306 N Quinlan Park Rd,
","Austin,",TX,3BRs,2Bathrooms,"$1,780-5,000","1,393 Sq Ft"
2/27/2019,Tacara Steiner Ranch,"4306 N Quinlan Park Rd,
","Austin,",TX,1Bedroom,1Bathroom,CallforRent,909 Sq Ft
2/27/2019,Tacara Steiner Ranch,"4306 N Quinlan Park Rd,
","Austin,",TX,1Bedroom,1Bathroom,CallforRent,923 Sq Ft
2/27/2019,Tacara Steiner Ranch,"4306 N Quinlan Park Rd,
","Austin,",TX,2BRs,2Bathrooms,CallforRent,999 Sq Ft
2/27/2019,Tacara Steiner Ranch,"4306 N Quinlan Park Rd,
","Austin,",TX,2BRs,2Bathrooms,CallforRent,"1,233 - 1,299 Sq Ft"
2/27/2019,The Santal,"7624 Tecoma Cir,
","Austin,",TX,1Bedroom,1Bathroom,"$1,425 ",907 Sq Ft
2/27/2019,The Santal,"7624 Tecoma Cir,
","Austin,",TX,1Bedroom,1Bathroom,"$1,450 ",893 Sq Ft
2/27/2019,The Santal,"7624 Tecoma Cir,
","Austin,",TX,3BRs,2½Bathrooms,"$1,950 ","1,462 Sq Ft"
2/27/2019,The Santal,"7624 Tecoma Cir,
","Austin,",TX,1Bedroom,1Bathroom,"$1,375 ",806 Sq Ft
2/27/2019,The Santal,"7624 Tecoma Cir,
","Austin,",TX,2BRs,2Bathrooms,"$1,570 ","1,080 Sq Ft"
2/27/2019,The Santal,"7624 Tecoma Cir,
","Austin,",TX,2BRs,2Bathrooms,"$1,650-1,700","1,181 Sq Ft"
2/27/2019,The Santal,"7624 Tecoma Cir,
","Austin,",TX,2BRs,2Bathrooms,"$1,695-1,745","1,205 Sq Ft"
2/27/2019,Mesa Verde,"3201 Duval Rd,
","Austin,",TX,1Bedroom,1Bathroom,"$910-1,130",754 Sq Ft
2/27/2019,Mesa Verde,"3201 Duval Rd,
","Austin,",TX,1Bedroom,1Bathroom,"$1,000-1,190",850 Sq Ft
2/27/2019,Mesa Verde,"3201 Duval Rd,
","Austin,",TX,1Bedroom,1Bathroom,"$1,060-1,212",658 Sq Ft
2/27/2019,Mesa Verde,"3201 Duval Rd,
","Austin,",TX,2BRs,2Bathrooms,"$1,100-1,350","1,070 Sq Ft"
2/27/2019,Mesa Verde,"3201 Duval Rd,
","Austin,",TX,2BRs,2Bathrooms,"$1,225-1,465","1,222 Sq Ft"
2/27/2019,7East,"2025 E 7th St,
","Austin,",TX,Studio,1Bathroom,"$1,814-2,207",737 - 746 Sq Ft
2/27/2019,7East,"2025 E 7th St,
","Austin,",TX,1Bedroom,1Bathroom,"$1,554-2,747",599 - 652 Sq Ft
2/27/2019,7East,"2025 E 7th St,
","Austin,",TX,1Bedroom,1Bathroom,"$1,724-2,937",711 - 778 Sq Ft
2/27/2019,7East,"2025 E 7th St,
","Austin,",TX,1Bedroom,1Bathroom,"$1,814-3,103",781 - 891 Sq Ft
2/27/2019,7East,"2025 E 7th St,
","Austin,",TX,2BRs,2Bathrooms,"$2,221-4,814","1,117 - 1,143 Sq Ft"
2/27/2019,7East,"2025 E 7th St,
","Austin,",TX,2BRs,2Bathrooms,"$2,266-4,392","1,260 - 1,262 Sq Ft"
2/27/2019,7East,"2025 E 7th St,
","Austin,",TX,2BRs,2Bathrooms,"$2,301-4,941","1,218 Sq Ft"
2/27/2019,7East,"2025 E 7th St,
","Austin,",TX,Studio,1Bathroom,"$1,832 ",588 Sq Ft
2/27/2019,7East,"2025 E 7th St,
","Austin,",TX,Studio,1Bathroom,"$1,832 ",988 Sq Ft
2/27/2019,7East,"2025 E 7th St,
","Austin,",TX,1Bedroom,1Bathroom,"$1,718 ",685 Sq Ft
2/27/2019,7East,"2025 E 7th St,
","Austin,",TX,1Bedroom,1Bathroom,"$1,824 ",803 Sq Ft
2/27/2019,7East,"2025 E 7th St,
","Austin,",TX,1Bedroom,1Bathroom,"$1,862-2,152",837 - 916 Sq Ft
2/27/2019,7East,"2025 E 7th St,
","Austin,",TX,2BRs,2Bathrooms,"$2,141 ","1,137 Sq Ft"
2/27/2019,7East,"2025 E 7th St,
","Austin,",TX,2BRs,2Bathrooms,"$2,161-2,346","1,129 - 1,215 Sq Ft"
2/27/2019,Saratoga,"6307 Bluff Springs Rd,
","Austin,",TX,1Bedroom,1Bathroom,"$925-1,075",650 Sq Ft
2/27/2019,Saratoga,"6307 Bluff Springs Rd,
","Austin,",TX,1Bedroom,1Bathroom,"$950-1,100",716 Sq Ft
2/27/2019,Saratoga,"6307 Bluff Springs Rd,
","Austin,",TX,1Bedroom,1Bathroom,"$1,020-1,085",755 Sq Ft
2/27/2019,Saratoga,"6307 Bluff Springs Rd,
","Austin,",TX,2BRs,1Bathroom,"$1,180-1,360",978 Sq Ft
2/27/2019,Saratoga,"6307 Bluff Springs Rd,
","Austin,",TX,2BRs,2Bathrooms,"$1,280-1,450","1,116 Sq Ft"
2/27/2019,The Aspect by Cortland,"4900 E Oltorf St,
","Austin,",TX,1Bedroom,1Bathroom,"$1,161-1,390",679 Sq Ft
2/27/2019,The Aspect by Cortland,"4900 E Oltorf St,
","Austin,",TX,2BRs,1Bathroom,"$1,267-1,537",824 Sq Ft
2/27/2019,The Aspect by Cortland,"4900 E Oltorf St,
","Austin,",TX,2BRs,2Bathrooms,"$1,542-1,770",998 Sq Ft
2/27/2019,The Aspect by Cortland,"4900 E Oltorf St,
","Austin,",TX,2BRs,2Bathrooms,"$1,611-1,891","1,177 Sq Ft"
2/27/2019,The Aspect by Cortland,"4900 E Oltorf St,
","Austin,",TX,3BRs,2Bathrooms,"$1,834-2,471","1,386 Sq Ft"
2/27/2019,The 704,"3401 S Lamar Blvd,
","Austin,",TX,Studio,1Bathroom,"$1,274-1,515",543 Sq Ft
2/27/2019,The 704,"3401 S Lamar Blvd,
","Austin,",TX,Studio,1Bathroom,"$1,291-1,329",573 Sq Ft
2/27/2019,The 704,"3401 S Lamar Blvd,
","Austin,",TX,Studio,1Bathroom,"$1,439-1,710",602 Sq Ft
2/27/2019,The 704,"3401 S Lamar Blvd,
","Austin,",TX,1Bedroom,1Bathroom,"$1,493-1,511",753 Sq Ft
2/27/2019,The 704,"3401 S Lamar Blvd,
","Austin,",TX,1Bedroom,1Bathroom,"$1,555-1,722",801 Sq Ft
2/27/2019,The 704,"3401 S Lamar Blvd,
","Austin,",TX,1Bedroom,1Bathroom,"$1,609-1,844",803 Sq Ft
2/27/2019,The 704,"3401 S Lamar Blvd,
","Austin,",TX,1Bedroom,1Bathroom,"$1,614-1,849",693 Sq Ft
2/27/2019,The 704,"3401 S Lamar Blvd,
","Austin,",TX,1Bedroom,1Bathroom,"$1,641-1,807",716 Sq Ft
2/27/2019,The 704,"3401 S Lamar Blvd,
","Austin,",TX,1Bedroom,1Bathroom,"$1,675-1,842",903 Sq Ft
2/27/2019,The 704,"3401 S Lamar Blvd,
","Austin,",TX,1Bedroom,1Bathroom,"$1,690-1,882",852 Sq Ft
2/27/2019,The 704,"3401 S Lamar Blvd,
","Austin,",TX,1Bedroom,1Bathroom,"$1,721-1,930",809 Sq Ft
2/27/2019,The 704,"3401 S Lamar Blvd,
","Austin,",TX,1Bedroom,1Bathroom,"$1,780-1,951",836 Sq Ft
2/27/2019,The 704,"3401 S Lamar Blvd,
","Austin,",TX,1Bedroom,1Bathroom,"$2,254-2,493",778 Sq Ft
2/27/2019,The 704,"3401 S Lamar Blvd,
","Austin,",TX,2BRs,2Bathrooms,"$1,751-1,772","1,143 Sq Ft"
2/27/2019,The 704,"3401 S Lamar Blvd,
","Austin,",TX,2BRs,2Bathrooms,"$1,785-1,978","1,189 Sq Ft"
2/27/2019,The 704,"3401 S Lamar Blvd,
","Austin,",TX,2BRs,2Bathrooms,"$1,803-2,034","1,143 Sq Ft"
2/27/2019,The 704,"3401 S Lamar Blvd,
","Austin,",TX,2BRs,2Bathrooms,"$1,875-2,068","1,193 Sq Ft"
2/27/2019,The 704,"3401 S Lamar Blvd,
","Austin,",TX,2BRs,2Bathrooms,"$1,982-2,186","1,295 Sq Ft"
2/27/2019,The 704,"3401 S Lamar Blvd,
","Austin,",TX,2BRs,2Bathrooms,"$2,112-2,324","1,184 Sq Ft"
2/27/2019,The 704,"3401 S Lamar Blvd,
","Austin,",TX,2BRs,2Bathrooms,"$2,246-2,458","1,205 Sq Ft"
2/27/2019,The 704,"3401 S Lamar Blvd,
","Austin,",TX,2BRs,2Bathrooms,"$2,764-3,017","1,164 Sq Ft"
2/27/2019,The 704,"3401 S Lamar Blvd,
","Austin,",TX,Studio,1Bathroom,"$1,476 ",816 Sq Ft
2/27/2019,The 704,"3401 S Lamar Blvd,
","Austin,",TX,1Bedroom,1Bathroom,"$1,463 ",733 Sq Ft
2/27/2019,The 704,"3401 S Lamar Blvd,
","Austin,",TX,1Bedroom,1Bathroom,"$1,468-1,493",766 Sq Ft
2/27/2019,The 704,"3401 S Lamar Blvd,
","Austin,",TX,1Bedroom,1Bathroom,"$1,478-1,533",791 Sq Ft
2/27/2019,The 704,"3401 S Lamar Blvd,
","Austin,",TX,1Bedroom,1Bathroom,"$1,497-1,522",778 Sq Ft
2/27/2019,The 704,"3401 S Lamar Blvd,
","Austin,",TX,1Bedroom,1Bathroom,"$1,572-1,682",739 Sq Ft
2/27/2019,The 704,"3401 S Lamar Blvd,
","Austin,",TX,1Bedroom,1Bathroom,"$1,598-1,623",695 Sq Ft
2/27/2019,The 704,"3401 S Lamar Blvd,
","Austin,",TX,1Bedroom,1Bathroom,"$1,628 ",675 Sq Ft
2/27/2019,The 704,"3401 S Lamar Blvd,
","Austin,",TX,1Bedroom,1Bathroom,"$1,638-1,693",749 Sq Ft
2/27/2019,The 704,"3401 S Lamar Blvd,
","Austin,",TX,1Bedroom,1Bathroom,"$1,650 ",788 Sq Ft
2/27/2019,The 704,"3401 S Lamar Blvd,
","Austin,",TX,1Bedroom,1Bathroom,"$1,760-1,815",874 Sq Ft
