Date,Title,Address,City,State,Beds,Baths,Rent,SQFT
2019-05-05,Cliffs at Barton Creek,"3050 Tamarron Blvd,","Austin,",TX,1Bedroom,1Bathroom,"$1,419-2,017",761 Sq Ft
2019-05-05,Cliffs at Barton Creek,"3050 Tamarron Blvd,","Austin,",TX,1Bedroom,1Bathroom,"$1,521-2,048",769 Sq Ft
2019-05-05,Cliffs at Barton Creek,"3050 Tamarron Blvd,","Austin,",TX,1Bedroom,1Bathroom,"$1,521-1,999",769 Sq Ft
2019-05-05,Cliffs at Barton Creek,"3050 Tamarron Blvd,","Austin,",TX,1Bedroom,1Bathroom,"$1,589-2,048",769 Sq Ft
2019-05-05,Cliffs at Barton Creek,"3050 Tamarron Blvd,","Austin,",TX,2BRs,2Bathrooms,"$1,782-3,551","1,108 Sq Ft"
2019-05-05,Cliffs at Barton Creek,"3050 Tamarron Blvd,","Austin,",TX,2BRs,2Bathrooms,"$1,876-2,747","1,108 Sq Ft"
2019-05-05,Cliffs at Barton Creek,"3050 Tamarron Blvd,","Austin,",TX,2BRs,2Bathrooms,"$1,882-2,754","1,108 Sq Ft"
2019-05-05,Cliffs at Barton Creek,"3050 Tamarron Blvd,","Austin,",TX,1Bedroom,1Bathroom,"$1,359-1,793",631 Sq Ft
2019-05-05,Cliffs at Barton Creek,"3050 Tamarron Blvd,","Austin,",TX,1Bedroom,1Bathroom,"$1,359-1,793",631 Sq Ft
2019-05-05,Cliffs at Barton Creek,"3050 Tamarron Blvd,","Austin,",TX,2BRs,2Bathrooms,"$2,011-3,856","1,263 Sq Ft"
2019-05-05,Cliffs at Barton Creek,"3050 Tamarron Blvd,","Austin,",TX,2BRs,2Bathrooms,"$2,011-2,998","1,263 Sq Ft"
2019-05-05,Cliffs at Barton Creek,"3050 Tamarron Blvd,","Austin,",TX,1Bedroom,1Bathroom,"$1,544-2,019",769 Sq Ft
2019-05-05,Cliffs at Barton Creek,"3050 Tamarron Blvd,","Austin,",TX,2BRs,2Bathrooms,"$2,136-3,456","1,263 Sq Ft"
2019-05-05,Cliffs at Barton Creek,"3050 Tamarron Blvd,","Austin,",TX,2BRs,2Bathrooms,"$2,011-3,263","1,263 Sq Ft"
2019-05-05,Cliffs at Barton Creek,"3050 Tamarron Blvd,","Austin,",TX,1Bedroom,1Bathroom,"$1,755-2,490",901 Sq Ft
2019-05-05,Cliffs at Barton Creek,"3050 Tamarron Blvd,","Austin,",TX,1Bedroom,1Bathroom,"$1,755-2,484",901 Sq Ft
2019-05-05,Cliffs at Barton Creek,"3050 Tamarron Blvd,","Austin,",TX,1Bedroom,1Bathroom,"$1,459-2,123",637 Sq Ft
2019-05-05,Cliffs at Barton Creek,"3050 Tamarron Blvd,","Austin,",TX,1Bedroom,1Bathroom,"$1,459-2,084",637 Sq Ft
2019-05-05,Cliffs at Barton Creek,"3050 Tamarron Blvd,","Austin,",TX,1Bedroom,1Bathroom,"$1,489-2,123",637 Sq Ft
2019-05-05,Cliffs at Barton Creek,"3050 Tamarron Blvd,","Austin,",TX,1Bedroom,1Bathroom,"$1,760-2,490",901 Sq Ft
2019-05-05,Cliffs at Barton Creek,"3050 Tamarron Blvd,","Austin,",TX,2BRs,2Bathrooms,"$1,842-3,000","1,108 Sq Ft"
2019-05-05,Cliffs at Barton Creek,"3050 Tamarron Blvd,","Austin,",TX,2BRs,2Bathrooms,"$2,021-3,379","1,263 Sq Ft"
2019-05-05,Cliffs at Barton Creek,"3050 Tamarron Blvd,","Austin,",TX,1Bedroom,1Bathroom,"$1,492-2,123",637 Sq Ft
2019-05-05,Cliffs at Barton Creek,"3050 Tamarron Blvd,","Austin,",TX,1Bedroom,1Bathroom,"$1,462-2,084",637 Sq Ft
2019-05-05,Cliffs at Barton Creek,"3050 Tamarron Blvd,","Austin,",TX,1Bedroom,1Bathroom,CallforRent,724 Sq Ft
